Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-06-22T23:00:59.471Z,6099.445277,6729.498689,6729.900593,5987.768386
BTC,2018-06-23T23:01:00.218Z,6198.700824,6041.926012,6313.565038,6019.834015
BTC,2018-06-24T23:01:00.463Z,6142.39257,6198.040366,6257.116743,5796.492519
BTC,2018-06-25T23:01:00.419Z,6244.328455,6146.279887,6321.135782,6090.149999
BTC,2018-06-26T23:03:59.951Z,6148.422705,6237.509614,6267.872,6101.731205
BTC,2018-06-27T23:00:00.156Z,6140.1915,6153.025474,6160.893065,6004.181118
BTC,2018-06-28T23:00:00.225Z,5954.526582,6143.851708,6185.04441,5913.012632
BTC,2018-06-29T23:00:00.096Z,6189.309252,5952.988658,6226.676707,5809.869959
BTC,2018-06-30T23:00:00.070Z,6343.8922,6185.103664,6449.892081,6137.955883
BTC,2018-07-01T22:59:59.820Z,6373.277854,6393.223356,6445.831244,6258.346633
BTC,2018-07-02T23:00:00.941Z,6629.749595,6373.184975,6682.757452,6269.923682
BTC,2018-07-03T23:00:00.235Z,6482.830594,6614.419253,6678.19556,6471.690858
BTC,2018-07-04T22:59:59.541Z,6589.632793,6511.020037,6788.307492,6415.496256
BTC,2018-07-05T23:00:00.629Z,6538.682432,6590.003356,6699.790032,6460.276241
BTC,2018-07-07T22:59:59.364Z,6570.427592,6580.314622,6621.102558,6501.459277
BTC,2018-07-08T22:59:59.700Z,6744.988679,6570.427115,6800.015281,6570.405832
BTC,2018-07-09T22:59:59.392Z,6694.530851,6744.988679,6798.959786,6667.489981
BTC,2018-07-10T23:00:00.191Z,6364.38759,6694.530851,6701.549171,6326.492899
BTC,2018-07-11T22:59:59.718Z,6360.446668,6296.981692,6400.579589,6271.592929
BTC,2018-07-12T23:00:00.821Z,6144.810118,6374.974582,6375.068356,6126.029743
BTC,2018-07-14T22:59:59.633Z,6254.678129,6254.799008,6323.038256,6182.083723
BTC,2018-07-15T23:00:00.264Z,6366.349904,6254.678129,6398.468153,6230.848947
BTC,2018-07-16T22:59:59.570Z,6671.625919,6356.108875,6709.159824,6335.123157
BTC,2018-07-17T23:00:00.518Z,7315.55104,6727.456337,7379.234744,6658.408659
