DATE,DEXUSEU
5/27/2015,1.0888
5/28/2015,1.0914
5/29/2015,1.0994
6/1/2015,1.0913
6/2/2015,1.113
6/3/2015,1.1285
6/4/2015,1.1271
6/5/2015,1.1108
6/8/2015,1.1232
6/9/2015,1.1284
6/10/2015,1.1307
6/11/2015,1.1236
6/12/2015,1.1278
6/15/2015,1.1266
6/16/2015,1.1238
6/17/2015,1.1244
6/18/2015,1.1404
6/19/2015,1.1335
6/22/2015,1.1378
6/23/2015,1.119
6/24/2015,1.1178
6/25/2015,1.1196
6/26/2015,1.1156
6/29/2015,1.118
6/30/2015,1.1154
7/1/2015,1.1084
7/2/2015,1.109
7/3/2015,.
7/6/2015,1.1076
7/7/2015,1.0952
7/8/2015,1.1072
7/9/2015,1.1025
7/10/2015,1.115
7/13/2015,1.102
7/14/2015,1.1015
7/15/2015,1.0965
7/16/2015,1.0898
7/17/2015,1.0848
7/20/2015,1.085
7/21/2015,1.0927
7/22/2015,1.0884
7/23/2015,1.0976
7/24/2015,1.0976
7/27/2015,1.1112
7/28/2015,1.1055
7/29/2015,1.1026
7/30/2015,1.0914
7/31/2015,1.1028
8/3/2015,1.0962
8/4/2015,1.0953
8/5/2015,1.0868
8/6/2015,1.0922
8/7/2015,1.0958
8/10/2015,1.0994
8/11/2015,1.1042
8/12/2015,1.1198
8/13/2015,1.1144
8/14/2015,1.111
8/17/2015,1.1078
8/18/2015,1.1028
8/19/2015,1.1061
8/20/2015,1.12
8/21/2015,1.1356
8/24/2015,1.158
8/25/2015,1.141
8/26/2015,1.139
8/27/2015,1.1239
8/28/2015,1.1172
8/31/2015,1.1194
9/1/2015,1.1263
9/2/2015,1.1242
9/3/2015,1.1104
9/4/2015,1.1117
9/7/2015,.
9/8/2015,1.1182
9/9/2015,1.1165
9/10/2015,1.1262
9/11/2015,1.1338
9/14/2015,1.1307
9/15/2015,1.126
9/16/2015,1.1304
9/17/2015,1.1312
9/18/2015,1.1358
9/21/2015,1.1204
9/22/2015,1.1133
9/23/2015,1.116
9/24/2015,1.1252
9/25/2015,1.1192
9/28/2015,1.1236
9/29/2015,1.1246
9/30/2015,1.1162
10/1/2015,1.12
10/2/2015,1.1276
10/5/2015,1.12
10/6/2015,1.1266
10/7/2015,1.1249
10/8/2015,1.1282
10/9/2015,1.1363
10/12/2015,.
10/13/2015,1.1382
10/14/2015,1.1437
10/15/2015,1.1418
10/16/2015,1.136
10/19/2015,1.132
10/20/2015,1.1359
10/21/2015,1.1345
10/22/2015,1.114
10/23/2015,1.1016
10/26/2015,1.1051
10/27/2015,1.1052
10/28/2015,1.1066
10/29/2015,1.0963
10/30/2015,1.1042
11/2/2015,1.1026
11/3/2015,1.0946
11/4/2015,1.0861
11/5/2015,1.0869
11/6/2015,1.0746
11/9/2015,1.0767
11/10/2015,1.0686
11/11/2015,.
11/12/2015,1.0768
11/13/2015,1.0722
11/16/2015,1.0708
11/17/2015,1.0634
11/18/2015,1.0638
11/19/2015,1.0746
11/20/2015,1.066
11/23/2015,1.0602
11/24/2015,1.0652
11/25/2015,1.0616
11/26/2015,.
11/27/2015,1.0596
11/30/2015,1.0562
12/1/2015,1.062
12/2/2015,1.0573
12/3/2015,1.0902
12/4/2015,1.0884
12/7/2015,1.084
12/8/2015,1.0876
12/9/2015,1.0984
12/10/2015,1.0948
12/11/2015,1.1002
12/14/2015,1.1025
12/15/2015,1.0911
12/16/2015,1.0937
12/17/2015,1.0804
12/18/2015,1.0847
12/21/2015,1.092
12/22/2015,1.0978
12/23/2015,1.0875
12/24/2015,1.0955
12/25/2015,.
12/28/2015,1.0983
12/29/2015,1.0916
12/30/2015,1.0912
12/31/2015,1.0859
1/1/2016,.
1/4/2016,1.0803
1/5/2016,1.0743
1/6/2016,1.0762
1/7/2016,1.086
1/8/2016,1.0885
1/11/2016,1.0878
1/12/2016,1.0837
1/13/2016,1.0862
1/14/2016,1.0862
1/15/2016,1.0964
1/18/2016,.
1/19/2016,1.0906
1/20/2016,1.0908
1/21/2016,1.0833
